Day,Hour,Tair,Maximum temperature (Tmax),Minimum temperature)Tmin,Maximum crown temperature(Tc max ),Minimum crown temperature (Tcmin),Crown temperature (Tc ),V component,Vd component,Vernalisation factor (VF),Td,Td (vernalised)
319,0,10.69,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,1,10.48,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,2,10.28,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,3,10.07,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,4,9.89,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,5,9.74,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,6,9.67,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,7,11.49,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,8,14.34,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,9,16.88,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,10,18.73,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,11,19.51,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,12,19.4,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,13,18.61,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,14,17.4,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,15,16.12,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,16,15.01,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,17,14.15,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,18,13.68,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,19,13.39,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,20,13.24,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,21,13.05,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,22,12.64,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
319,23,12.37,0,9.67,0,9.67,4.835,0.264898,0,0.578159299,15.00069444,8.672790976
320,0,12.04,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,1,11.76,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,2,11.51,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,3,11.15,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,4,10.83,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,5,10.57,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,6,10.3,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,7,10.23,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,8,10.64,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,9,11.3,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,10,11.83,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,11,12.06,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,12,12.1,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,13,12.08,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,14,12.01,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,15,11.78,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,16,11.25,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,17,10.54,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,18,10.23,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,19,9.79,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,20,9.24,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,21,8.67,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,22,8.03,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
320,23,7.29,19.51,9.67,19.51,9.67,14.59,0.264898,0,0.578159299,28.78527777,16.64247601
321,0,6.83,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,1,6.69,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,2,6.93,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,3,6.99,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,4,6.96,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,5,7.08,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,6,7.22,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,7,7.65,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
321,8,8.45,12.1,7.29,12.1,7.29,9.695,0.663623,0,0.581541184,39.50319444,22.97273448
